x,y,theta1_deg,theta2_deg
0.0561,0.0064,48.3935,-137.7724
0.0505,0.0118,51.0266,-140.4674
0.0448,0.0181,53.0703,-144.2569
0.039,0.0257,54.3303,-149.563
0.0346,0.0342,54.4419,-155.9731
0.0323,0.0419,53.7295,-162.0516
0.0315,0.0489,52.4645,-167.8191
0.0322,0.0553,50.767,-173.2706
0.034,0.0609,48.6296,-178.4978
0.0372,0.0654,45.8073,176.5414
0.0417,0.0673,41.9663,172.4584
0.0455,0.0651,38.1809,171.0505
0.0484,0.0596,34.6633,171.948
0.0506,0.0674,34.0461,166.0451
0.054,0.0761,33.4328,159.2628
0.0591,0.0846,32.5271,152.0896
0.066,0.0925,31.2243,144.4663
0.0754,0.0997,29.3686,135.9425
0.0888,0.1063,26.7446,125.4546
0.1116,0.1117,22.7769,109.7812
0.053,-0.1136,-47.4485,-142.0596
0.073,-0.1079,-34.5812,-134.3197
0.0836,-0.1042,-27.7463,-129.3629
0.0908,-0.1001,-22.4262,-126.0045
0.0961,-0.0958,-17.7924,-123.5655
0.0999,-0.0912,-13.6026,-121.8464
0.1025,-0.0864,-9.6408,-120.6884
0.1041,-0.0813,-5.7646,-120.0038
0.1096,-0.0833,-5.1928,-115.8091
0.1178,-0.0864,-4.9616,-109.8104
0.1271,-0.0865,-3.183,-103.2783
0.1348,-0.0839,-0.4675,-98.0299
0.1403,-0.0802,2.4807,-94.2139
0.1443,-0.0759,5.5972,-91.2551
0.147,-0.0712,8.819,-89.011
0.1483,-0.0662,12.2185,-87.5205
0.1474,-0.0609,15.9424,-87.2182
0.1437,-0.0562,19.3249,-88.7128
0.1383,-0.0529,21.7609,-91.5762
0.1315,-0.0501,23.5128,-95.5592
0.1238,-0.0476,24.6929,-100.3296
0.1154,-0.045,25.2577,-105.9882
0.1061,-0.0419,25.1036,-112.7537
0.0967,-0.0383,23.9641,-120.4367
0.0903,-0.0358,22.2168,-126.5141
0.0859,-0.0338,20.5063,-131.1748
0.081,-0.0272,22.9435,-134.5307
0.0759,-0.0203,25.1656,-138.2012
0.0707,-0.013,27.178,-142.3463
0.0691,-0.0099,29.4831,-142.4023
0.0697,-0.0096,32.6862,-139.1037
0.0686,-0.0072,37.0152,-136.5588
0.0654,-0.0032,41.4517,-135.6056
0.0612,0.0013,45.1457,-136.1431
0.0561,0.0063,48.3655,-137.7541
0.0561,0.0064,48.3935,-137.7724
